rain,rains
ant,ants
anteater,anteaters
tablet,tablets
phone,phones
smartphone,smartphones
telephone,telephones
telegraph,telegraphs
telegram,telegrams
song,songs
library,libraries
post office,post offices
department store,department stores
homework,homeworks
friend,friends
coffee,coffees
tea,teas
hospital,hospitals
pharmacy,pharmacies
pharmacist,pharmacists
box,boxes
ball,balls
question,questions
blackboard,blackboards
laundry,laundries
dish,dishes
bed,beds
window,windows
floor,floors
ceiling,ceilings
chair,chairs
television,televisions
juice,juices
test,tests
exam,exams
college,colleges
restaurant,restaurants
morning,mornings
afternoon,afternoons
evening,evenings
day,days
night,nights
breakfast,breakfasts
lunch,lunches
dinner,dinners
meal,meals
orange,oranges
strawberry,strawberries
straw,straws
plum,plums
peach,peaches
banana,bananas
watermelon,watermelons
melon,melons
grape,grapes
tomato,tomatoes
cucumber,cucumbers
carrot,carrots
onion,onions
potato,potatoes
corn,corns
egg,eggs
eggplant,eggplants
broccolo,broccoli
bean,beans
mushroom,mushrooms
hippopotamus,hippopotamuses
alligator,alligators
crocodile,crocodiles
camel,camels
tiger,tigers
bear,bears
zebra,zebras
pig,pigs
wig,wigs
cow,cows
rabbit,rabbits
bird,birds
chicken,chickens
chick,chicks
frog,frogs
note,notes
notebook,notebooks
camera,cameras
sun,suns
moon,moons
star,stars
heart,hearts
stomach,stomachs
elbow,elbows
foot,feet
hand,hands
arm,arms
leg,legs
face,faces
soda,sodas
cake,cakes
spoon,spoons
fork,forks
knife,knives
chopstick,chopsticks
napkin,napkins
market,markets
bank,banks
person,people
family,families
history,histories
music,musics
theory,theories
software,softwares
society,societies
thing,things
paper,papers
disease,diseases
world,worlds
log,logs
square,squares
circle,circles
triangle,triangles
hair,hairs
baseball,baseballs
bat,bats
basketball,basketballs
basket,baskets
football,footballs
backpack,backpacks
document,documents
folder,folders
paint,paints
paintbrush,paintbrushes
glass,glasses
scarf,scarves
fly,flies
butterfly,butterflies
mosquito,mosquitos
dragon,dragons
unicorn,unicorns
goat,goats
sheep,sheep
slime,slimes
wizard,wizards
fairy,fairies
elf,elves
shelf,shelves
drawer,drawers
closet,closets
dirt,dirts
candle,candles
candy,candies
water,waters
bottle,bottles
beer,beers
wine,wines
cough,coughs
door,doors
deer,deer
trash,trashes
dream,dreams
hamburger,hamburgers
cheeseburger,cheeseburgers
cheese,cheeses
injury,injuries
hobby,hobbies
heater,heaters
air conditioner,air conditioners
key,keys
ring,rings
king,kings
queen,queens
lizard,lizards
kangaroo,kangaroos
violin,violins
flute,flutes
xylophone,xylophones
yo-yo,yo-yos
island,islands
ocean,oceans
sea,seas
pirate,pirates
ninja,ninjas
samurai,samurai
continent,continents
land,lands
rainbow,rainbows
snail,snails
slug,slugs
volcano,volcanoes
worm,worms
watch,watches
igloo,igloos
net,nets
jet,jets
hammer,hammers
nail,nails
screwdriver,screwdrivers
screw,screws
kite,kites
feather,feathers
bush,bushes
leaf,leaves
penguin,penguins
bug,bugs
doctor,doctors
nurse,nurses
office,offices
crab,crabs
turtle,turtles
tortoise,tortoises
keyboard,keyboards
bag,bags
wallet,wallets
purse,purses
pickpocket,pickpockets
wheel,wheels
card,cards
medal,medals
minister,ministers
sign,signs
intersection,intersections
string,strings
rope,ropes
moustache,moustaches
beard,beards
scissor,scissors
stapler,staplers
glue,glues
monster,monsters
ghost,ghosts
vampire,vampires
werewolf,werewolves
alien,aliens
barbarian,barbarians
viking,vikings
guy,guys
squid,squids
grasshopper,grasshoppers
cabinet,cabinets
theater,theaters
ship,ships
rowboat,rowboats
canoe,canoes
pickle,pickles
crown,crowns
science,sciences
scientist,scientists
historian,historians
anthropologist,anthropologists
rollercoaster,rollercoasters
text,texts
textbook,textbooks
milk,milks
tooth,teeth
toothbrush,toothbrushes
toothpaste,toothpastes
cactus,cacti
dessert,desserts
desert,deserts
forest,forests
cave,caves
word,words
sentence,sentences
nose,noses
ear,ears
mouth,mouths
article,articles
dentist,dentists
lollipop,lollipops
ice cream,ice creams
cookie,cookies
jail,jails
prison,prisons
plant,plants
pupil,pupils
bookstore,bookstores
librarian,librarians
kitten,kittens
puppy,puppies
snake,snakes
ladder,ladders
calculator,calculators
abacus,abaci
speaker,speakers
genius,geniuses
horse,horses
pony,ponies
medicine,medicines
medication,medications
video,videos
photo,photos
photograph,photographs
picture,pictures
painting,paintings
graph,graphs
brick,bricks
muscle,muscles
room,rooms
gift,gifts
present,presents
shop,shops
stores,stores
billboard,billboards
bill,bills
amoeba,amoebas
rose,roses
violet,violets
sunflower,sunflowers
lily,lilies
daisy,daisies
orchid,orchids
tulip,tulips
dandelion,dandelions
screen,screens
bookmark,bookmarks
finger,fingers
thumb,thumbs
sound,sounds
noise,noises
puzzle,puzzles
neck,necks
ring,rings
necklace,necklaces
dude,dudes
magic,magics
statue,statues
sculpture,sculptures
dirt,dirts
mud,muds
marble,marbles
stone,stones
rock,rocks
pebble,pebbles
boulder,boulders
sand,sands
quicksand,quicksands
bubble,bubbles
treasure,treasures
fan,fans
lamp,lamps
beach,beaches
whale,whales
dolphin,dolphins
head,heads
body,bodies
headphone,headphones
soup,soups
salad,salads
machine,machines
flamingo,flamingos
crowbar,crowbars
saw,saws
blade,blades
remote,remotes
controller,controllers
war,wars
battle,battles
washing machine,washing machines
drier,driers
refrigerator,refrigerators
fridge,fridges
tray,trays
bucket,buckets
barrel,barrels
cinderblock,cinderblocks
elevator,elevators
escalator,escalators
pot,pots
vase,vases
jar,jars
pan,pans
bowl,bowls
kettle,kettles
teapot,teapots
saucer,saucers
map,maps
diagram,diagrams
gun,guns
bath,baths
bathtub,bathtubs
bathroom,bathrooms
restroom,restrooms
toilet,toilets
wall,walls
ground,grounds
wave,waves
tsunami,tsunamis
whirlpool,whirlpools
pool,pools
saxophone,saxophones
forehead,foreheads
tornado,tornadoes
earthquake,earthquakes
earth,earths
shed,sheds
shack,shacks
gate,gates
fox,foxes
wolf,wolves
mayonnaise,mayonnaises
instrument,instruments
net,nets
crystal,crystals
ostrich,ostriches
fingerprint,fingerprints
footprint,footprints
wallpaper,wallpapers
trumpet,trumpets
horn,horns
tuba,tubas
oboe,oboes
clarinet,clarinets
harp,harps
acid,acids
powder,powders
skeleton,skeletons
bomb,bombs
carpet,carpets
park,parks
pier,piers
dock,docks
beginner,beginners
class,classes
classroom,classrooms
classmate,classmates
cloud,clouds
poster,posters
receipt,receipts
noodle,noodles
error,errors
inn,inns
weapon,weapons
armor,armors
shovel,shovels
cliff,cliffs
bridge,bridges
towel,towels
cloth,cloths
tissue,tissues
wood,woods
furnace,furnaces
ponytail,ponytails
afro,afros
cigarette,cigarettes
tobacco,tobaccos
drug,drugs
bee,bees
honeybee,honeybees
wasp,wasps
balloon,balloons
blimp,blimps
zeppelin,zeppelins
knight,knights
price,prices
cost,costs
tax,taxes
fee,fees
salary,salaries
pumpkin,pumpkins
journal,journals
kitchen,kitchens
light,lights
churro,churros
flame,flames
flashlight,flashlights
thermometer,thermometers
barn,barns
farm,farms
farmer,farmers
seed,seeds
game,games
shell,shells
pufferfish,pufferfish
orchestra,orchestras
way,ways
year,years
group,groups
part,parts
place,places
week,weeks
case,cases
system,systems
number,numbers
letter,letters
notepad,notepads
point,points
fact,facts
demon,demons
angel,angels
tail,tails
stair,stairs
step,steps
bannister,bannisters
handrail,handrails
rail,rails
tower,towers
cowboy,cowboys
